eval,score,best,p0,p1,p2,p3,p4,p5,p6,p7
43,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
44,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
45,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
46,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
47,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
48,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
49,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
50,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
51,715.5160012648229,2780.148923527175,1,-1,1,1,1,-1,-1,1
52,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
53,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
54,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
55,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
56,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
57,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
58,2734.2918020304464,2780.148923527175,1,1,-1,1,1,-1,-1,1
59,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
60,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
61,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
62,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
63,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
64,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
65,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
66,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
67,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
68,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
69,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
70,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
71,589.1514213764916,2780.148923527175,-1,1,1,1,1,-1,-1,1
72,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
73,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
74,715.0528224389111,2780.148923527175,1,1,1,1,1,-1,1,1
75,1339.2738642755885,2780.148923527175,1,1,1,1,-1,-1,-1,1
76,2371.0740130996023,2780.148923527175,0,1,1,1,1,-1,-1,1
77,2747.380189183525,2780.148923527175,1,1,1,-1,1,-1,-1,1
78,2470.553500532423,2780.148923527175,1,1,1,1,0,-1,-1,1
79,132.26070982341844,2780.148923527175,1,1,1,1,1,1,-1,1
80,1260.4223600852713,2780.148923527175,1,1,1,1,1,0,-1,1
81,2760.991900511706,2780.148923527175,1,1,0,1,1,-1,-1,1
82,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
83,1559.049236871587,2780.148923527175,1,1,1,1,1,-1,-1,-1
84,2396.4820458869863,2780.148923527175,1,0,1,1,1,-1,-1,1
85,2533.4660616669926,2780.148923527175,1,1,1,1,1,-1,-1,0
